GEOID,state,medinc_totalE,medinc_totalM,medinc_15_24E,medinc_15_24M,medinc_25_44E,medinc_25_44M,medinc_45_64E,medinc_45_64M,medinc_65_plusE,medinc_65_plusM,year,med_rentE,med_rentM,annual_rent,rtb_15_24,rtb_25_44,burden_cat_young,burden_cat_established,affordability_gap
42,Pennsylvania,54895,185,25891,490,62292,330,67898,402,37174,178,2016,859,2,10308,39.81306245413464,16.547871315738778,Burdened (30-50%),Affordable (<30%),23.26519113839586
44,Rhode Island,58387,712,26341,1640,62259,1188,73704,983,39548,899,2016,938,7,11256,42.7318628753654,18.07931383414446,Burdened (30-50%),Affordable (<30%),24.65254904122094
45,South Carolina,46898,307,24220,813,50671,415,54421,529,37795,330,2016,811,4,9732,40.18166804293972,19.206252096860137,Burdened (30-50%),Affordable (<30%),20.975415946079583
46,South Dakota,52078,508,30668,985,58311,970,63633,991,37420,777,2016,676,7,8112,26.451023868527457,13.911611874260432,Affordable (<30%),Affordable (<30%),12.539411994267025
47,Tennessee,46574,206,25109,546,50837,399,54726,467,35951,334,2016,782,3,9384,37.373053486797566,18.458996400259654,Burdened (30-50%),Affordable (<30%),18.914057086537913
48,Texas,54727,165,28413,519,58210,350,65912,336,40148,192,2016,911,2,10932,38.47534579241896,18.78027830269713,Burdened (30-50%),Affordable (<30%),19.695067489721833
50,Vermont,56104,793,31945,1878,63508,1415,66098,1054,39104,807,2016,913,12,10956,34.296447018312726,17.251369906153556,Burdened (30-50%),Affordable (<30%),17.04507711215917
49,Utah,62518,349,33282,1063,65272,642,78140,856,46542,555,2016,912,6,10944,32.88263926446728,16.766760632430444,Burdened (30-50%),Affordable (<30%),16.115878632036836
51,Virginia,66149,285,31159,624,71234,476,80461,544,46764,334,2016,1135,4,13620,43.71128726852595,19.120083106381784,Burdened (30-50%),Affordable (<30%),24.591204162144166
53,Washington,62848,343,31563,585,68481,563,76189,580,45121,336,2016,1056,4,12672,40.1482748788138,18.504402681035614,Burdened (30-50%),Affordable (<30%),21.643872197778187
54,West Virginia,42644,410,21695,1169,50130,813,50073,680,33442,387,2016,658,6,7896,36.39548283014519,15.751047277079595,Burdened (30-50%),Affordable (<30%),20.6444355530656
55,Wisconsin,54610,201,28112,605,61186,392,67804,378,37343,223,2016,789,2,9468,33.67956744450768,15.474128068512405,Burdened (30-50%),Affordable (<30%),18.205439375995276
56,Wyoming,59143,896,30177,3093,67676,1796,72008,1281,39957,1089,2016,802,12,9624,31.89183815488617,14.220698622850051,Burdened (30-50%),Affordable (<30%),17.67113953203612
72,Puerto Rico,19606,168,6959,544,22533,444,22722,316,16363,171,2016,460,5,5520,79.32174162954448,24.497403807748636,Severely Burdened (>50%),Affordable (<30%),54.82433782179584
01,Alabama,44758,314,21303,707,49004,655,53381,552,35134,280,2016,728,4,8736,41.008308688917054,17.827116153783365,Burdened (30-50%),Affordable (<30%),23.18119253513369
02,Alaska,74444,809,42551,2094,75858,1382,86720,1689,56196,2245,2016,1173,11,14076,33.080303635637236,18.555722534208652,Burdened (30-50%),Affordable (<30%),14.524581101428584
04,Arizona,51340,231,26658,548,55493,453,60784,500,41653,302,2016,937,4,11244,42.17870808012604,20.262015028922566,Burdened (30-50%),Affordable (<30%),21.916693051203477
05,Arkansas,42336,234,23547,992,47339,628,49835,590,33291,427,2016,689,4,8268,35.11275321697032,17.46551469190308,Burdened (30-50%),Affordable (<30%),17.647238525067237
06,California,63783,188,30785,374,66979,322,76370,299,46749,187,2016,1297,2,15564,50.55708949163553,23.237134027083115,Severely Burdened (>50%),Affordable (<30%),27.319955464552415
08,Colorado,62520,287,30110,744,67250,553,75527,488,46019,512,2016,1057,4,12684,42.12553968781136,18.86096654275093,Burdened (30-50%),Affordable (<30%),23.26457314506043
10,Delaware,61017,723,32246,2176,65357,1438,73576,1390,45931,809,2016,1039,10,12468,38.665260807542026,19.076763009318054,Burdened (30-50%),Affordable (<30%),19.588497798223973
11,District of Columbia,72935,1164,31818,2838,86812,1686,73520,2217,48747,2107,2016,1362,15,16344,51.36715066943239,18.826890291664746,Severely Burdened (>50%),Affordable (<30%),32.540260377767645
09,Connecticut,71755,473,31977,1971,74770,912,90168,872,47465,634,2016,1094,5,13128,41.05450792757294,17.557844055102315,Burdened (30-50%),Affordable (<30%),23.496663872470627
12,Florida,48900,200,26344,447,51901,301,57398,383,39404,180,2016,1032,3,12384,47.00880655936835,23.860811930405966,Burdened (30-50%),Affordable (<30%),23.147994628962387
13,Georgia,51037,182,24593,773,53084,359,61011,374,38486,331,2016,897,3,10764,43.76855202699955,20.27729636048527,Burdened (30-50%),Affordable (<30%),23.49125566651428
16,Idaho,49174,425,25194,1284,53078,818,59801,988,37247,642,2016,764,8,9168,36.389616575375086,17.272693017822828,Burdened (30-50%),Affordable (<30%),19.11692355755226
15,Hawaii,71977,663,39474,2240,72915,1161,82810,1278,61116,1101,2016,1456,14,17472,44.26204590363277,23.962147706233285,Burdened (30-50%),Affordable (<30%),20.299898197399482
17,Illinois,59196,236,25913,464,64227,427,72597,409,40234,258,2016,925,3,11100,42.835642341681776,17.282451305525715,Burdened (30-50%),Affordable (<30%),25.55319103615606
18,Indiana,50433,195,25395,582,54948,534,61231,385,37639,250,2016,758,3,9096,35.81807442409924,16.5538327145665,Burdened (30-50%),Affordable (<30%),19.264241709532737
19,Iowa,54570,300,27458,728,62191,543,67143,566,38140,356,2016,715,4,8580,31.247723796343507,13.79620845459954,Burdened (30-50%),Affordable (<30%),17.451515341743967
20,Kansas,53571,305,27350,805,58604,582,66246,630,39678,405,2016,775,4,9300,34.003656307129795,15.869223943758104,Burdened (30-50%),Affordable (<30%),18.13443236337169
21,Kentucky,44811,312,24765,721,51584,464,52303,467,33859,307,2016,690,3,8280,33.434282253179894,16.051488833746898,Burdened (30-50%),Affordable (<30%),17.382793419432996
22,Louisiana,45652,316,22514,761,51402,516,54028,561,32937,413,2016,800,4,9600,42.64013502709425,18.676316096649938,Burdened (30-50%),Affordable (<30%),23.963818930444315
23,Maine,50826,425,30234,1562,56873,1215,60550,829,36246,576,2016,790,6,9480,31.355427664219093,16.668718020853483,Burdened (30-50%),Affordable (<30%),14.68670964336561
24,Maryland,76067,423,34730,1415,79015,695,92228,646,52626,499,2016,1264,5,15168,43.674057011229486,19.196355122445105,Burdened (30-50%),Affordable (<30%),24.47770188878438
25,Massachusetts,70954,343,32321,845,80263,564,87533,752,42707,444,2016,1129,4,13548,41.91701989418644,16.879508615426783,Burdened (30-50%),Affordable (<30%),25.037511278759656
26,Michigan,50803,162,24485,579,55091,398,61880,262,39030,199,2016,799,3,9588,39.15866857259547,17.4039316766804,Burdened (30-50%),Affordable (<30%),21.754736895915066
27,Minnesota,63217,225,31575,611,71297,482,77486,482,41101,314,2016,873,4,10476,33.17814726840855,14.693465363199012,Burdened (30-50%),Affordable (<30%),18.48468190520954
28,Mississippi,42009,278,23579,1617,46237,625,48953,749,32611,532,2017,740,5,8880,37.66063022180754,19.205398274109477,Burdened (30-50%),Affordable (<30%),18.45523194769806
29,Missouri,51542,215,26540,750,57773,568,61834,400,38492,271,2017,784,4,9408,35.44837980406933,16.2844235196372,Burdened (30-50%),Affordable (<30%),19.163956284432132
30,Montana,50801,479,27528,1201,58070,1125,60149,917,38701,677,2017,751,9,9012,32.737576285963385,15.519200964353367,Burdened (30-50%),Affordable (<30%),17.21837532161002
31,Nebraska,56675,392,29996,821,62472,752,70843,744,40466,566,2017,773,4,9276,30.924123216428857,14.848252016903574,Burdened (30-50%),Affordable (<30%),16.07587119952528
32,Nevada,55434,349,34452,1416,57660,673,63907,659,43953,607,2017,1017,6,12204,35.42319749216301,21.165452653485954,Burdened (30-50%),Affordable (<30%),14.257744838677059
33,New Hampshire,71305,733,37693,3295,78524,1359,85853,1306,47951,657,2017,1052,9,12624,33.4916297455761,16.07661351943355,Burdened (30-50%),Affordable (<30%),17.415016226142548
34,New Jersey,76475,425,35428,1223,82607,592,94093,668,49470,392,2017,1249,4,14988,42.30552105679124,18.143740845206825,Burdened (30-50%),Affordable (<30%),24.161780211584418
35,New Mexico,46718,408,26158,1017,48852,881,54948,840,39073,699,2017,809,6,9708,37.11292912302164,19.87226725620241,Burdened (30-50%),Affordable (<30%),17.240661866819227
01,Alabama,46472,301,22553,777,50585,467,55555,555,36595,314,2017,747,3,8964,39.746375205072496,17.72066818226747,Burdened (30-50%),Affordable (<30%),22.025707022805026
02,Alaska,76114,979,43594,1467,77960,1655,88734,2116,59041,1751,2017,1200,13,14400,33.03206863329816,18.471010774756287,Burdened (30-50%),Affordable (<30%),14.561057858541872
04,Arizona,53510,259,28716,677,57910,471,63626,498,43351,307,2017,972,4,11664,40.61847053907229,20.141599032982214,Burdened (30-50%),Affordable (<30%),20.476871506090077
05,Arkansas,43813,401,25801,920,49133,726,51366,577,34467,446,2017,709,5,8508,32.975466067206696,17.316264018073394,Burdened (30-50%),Affordable (<30%),15.659202049133302
06,California,67169,192,32469,415,71124,329,80269,337,49126,228,2017,1358,3,16296,50.189411438602974,22.912097182385693,Severely Burdened (>50%),Affordable (<30%),27.27731425621728
36,New York,62765,225,31397,576,70604,459,75198,375,42185,260,2017,1194,3,14328,45.63493327387967,20.293467792193077,Burdened (30-50%),Affordable (<30%),25.34146548168659
37,North Carolina,50320,204,27273,563,54029,413,59791,478,38466,232,2017,844,3,10128,37.13562864371357,18.74548853393548,Burdened (30-50%),Affordable (<30%),18.390140109778088
38,North Dakota,61285,669,34507,2289,71484,1323,77513,1253,39740,1030,2017,775,9,9300,26.951053409453152,13.009904314252141,Affordable (<30%),Affordable (<30%),13.94114909520101
39,Ohio,52407,153,26288,486,58447,441,64232,362,38738,237,2017,764,2,9168,34.87522824102252,15.686006125207452,Burdened (30-50%),Affordable (<30%),19.189222115815067
40,Oklahoma,49767,240,28089,915,54376,412,59025,546,38428,300,2017,766,3,9192,32.72455409590943,16.904516698543475,Burdened (30-50%),Affordable (<30%),15.820037397365958
41,Oregon,56119,370,27883,923,62034,644,67130,603,42587,411,2017,988,4,11856,42.52053222393573,19.11209981622981,Burdened (30-50%),Affordable (<30%),23.40843240770592
42,Pennsylvania,56951,205,26868,449,64784,465,70545,405,38737,237,2017,885,3,10620,39.526574363555156,16.392936527537664,Burdened (30-50%),Affordable (<30%),23.133637836017492
